ResourceName,SettlementPointName,ResourceType
SW_MESA_SW_MESA,SW_M_SW_MESA,WIND
SWEC_G1,SWEC_G1,WIND
SWEETWN2_WND2,SWEETWN2_2_4,WIND
SWEETWN2_WND23,SWEETWN2_2_4,WIND
SWEETWN2_WND24,SWEETWN2_2_4,WIND
SWEETWN3_WND3A,SWEETWN3_3,WIND
SWEETWN3_WND3B,SWEETWN3_3,WIND
SWEETWN4_WND4A,SWTWN4_WND45,WIND
SWEETWN4_WND4B,SWTWN4_WND45,WIND
SWEETWN4_WND5,SWTWN4_WND45,WIND
SWEETWN5_WND5,SWTWN4_WND45,WIND
SWEETWND_WND1,SWEETWND_1,WIND
TAHOKA_UNIT_1,TAHOKA_ALL,WIND
TAHOKA_UNIT_2,TAHOKA_ALL,WIND
TAYGETE_UNIT1,TAYGETE_ALL,PVGR
TAYGETE_UNIT2,TAYGETE_ALL,PVGR
TAYGETE2_UNIT1,TAYGETE2_ALL,PVGR
TAYGETE2_UNIT2,TAYGETE2_ALL,PVGR
TGW_T1,TGW_T1_T2,WIND
TGW_T2,TGW_T1_T2,WIND
TI_SOLAR_UNIT1,TI_SOLAR_ALL,PVGR
TI_SOLAR_UNIT2,TI_SOLAR_ALL,PVGR
TKWSW1_ROSCOE,TKWSW_ROSCOE,WIND
TKWSW1_ROSCOE2A,TKWSW_ROSCOE,WIND
TORR_UNIT1_25,TORR_ALL,WIND
TORR_UNIT2_23,TORR_ALL,WIND
TORR_UNIT2_25,TORR_ALL,WIND
TRENT_TRENT,TRENT_TRENT,WIND
TRENT_UNIT_1B,TRENT_TRENT,WIND
TRENT_UNIT_2,TRENT_TRENT,WIND
TRENT_UNIT_3A,TRENT_TRENT,WIND
TRENT_UNIT_3B,TRENT_TRENT,WIND
TRINITY_TH1_BUS1,TRINITY_ALL,WIND
TRINITY_TH1_BUS2,TRINITY_ALL,WIND
TRUENO_UNIT1,TRUENO_ALL,WIND
TRUENO_UNIT1,EL_RAYO_ALL,WIND
TRUENO_UNIT2,EL_RAYO_ALL,WIND
TRUENO_UNIT2,TRUENO_ALL,WIND
TTWEC_G1,TTWEC_G1,WIND
TYLRWIND_UNIT1,TYLRWIND_RN,WIND
